municipio,População,Área_km,Receita Anual,Orçamento anual,Danos e Prejuízos,Afetados,Precipitação pluviométrica,Densidade populacional,Capacidade de investimento na resposta ao desastre,Capacidade de projeção financeira,Densidade populacional de afetados
Miracema,27154,303,175000000,154504379,495650,600,98,89.51,0.0028323,1.132654,0.0220962
Laje do Muriaé,7326,251,46619864.76,51844864.8,2291000,3128,250,29.24,0.0491421,0.8992186,0.4269724
Cambuci,15514,562,71745844.8,91660000,256000,3142,38.4,27.62,0.0035682,0.7827389,0.2025268
Campos dos Goytacazes,511168,4032,2259089505,2526415589,35825000,442,140.8,126.78,0.0158582,0.8941876,0.0008647
Barra do Piraí,100764,578,351043700,275000000,1803526.8,1450,92,174.19,0.0051376,1.2765225,0.0143901
Conceição de Macabu,23398,348,124527975.1,99962574.5,2786132,8968,125,67.17,0.0223735,1.245746,0.3832806
São Pedro da Aldeia,106049,359,391002957.8,403828202.3,230049.42,53,150,295.4,0.0005884,0.9682408,0.0004998
Laje do Muriaé,7326,251,46619864.76,51844864.8,1091590,1376,90,29.24,0.0234147,0.8992186,0.1878242
Rio Claro,18605,841,106726946.8,121687452.5,12965675.4,910,271.2,22.11,0.1214846,0.8770579,0.0489116
Paraty,43680,928,374735796,360000000,45700000,10993,300,47.05,0.1219526,1.0409328,0.2516712
Mangaratiba,45220,356,395416504.1,326553759.2,9194987.2,7426,307.5,126.88,0.0232539,1.2108772,0.1642194
Belford Roxo,513118,80,1072096981,1057932547,13124090.89,426365,228,6430.78,0.0122415,1.0133888,0.8309297
Mesquita,176569,39,496892328.5,575000000,31933377.6,53480,139.5,4520.22,0.0642662,0.8641606,0.3028844
Queimados,151335,76,464466223.4,358320000,3598697.58,9384,138.8,1999.11,0.007748,1.296233,0.0620081
Angra dos Reis,207044,816,1055530700,1232000000,19229000,112120,389,253.64,0.0182174,0.8567619,0.5415274
Nova Iguaçu,823302,521,1366925024,1594665486,533621165,756236,220,1580.82,0.3903807,0.8571861,0.9185402
Paraty,43680,928,374735796,360000000,45700000,10120,300,47.05,0.1219526,1.0409328,0.231685
Petrópolis,306678,796,1238332775,1433965383,135825000,181417,530,385.37,0.1096838,0.8635723,0.5915553
Magé,246433,386,569131868.6,569598000,2610480.14,10300,222.8,638.92,0.0045868,0.9991816,0.0417964
São José de Ubá,7206,251,59392525.8,59022321.04,1263000,62,210,28.76,0.0212653,1.0062723,0.0086039
Engenheiro Paulo de Frontin,14071,139,76245347.64,70543984.43,21595817.08,1307,84.2,101.22,0.2832411,1.08082,0.0928861
Cambuci,15514,562,71745844.8,90660000,8729000,2980,118.2,27.62,0.1216656,0.7913727,0.1920846
Miracema,27154,303,76037207.28,79423854.35,23904350,16400,150,89.51,0.314377,0.9573598,0.6039626
Laje do Muriaé,7326,251,46619864.76,51844864.8,3983000,1397,155.8,29.24,0.0854357,0.8992186,0.1906907
Itaocara,23222,428,370399536.2,68454905.05,50600,5120,159,54.2,0.0001366,5.4108546,0.2204806
Santo Antônio de Pádua,42594,612,2060371705,166013074.7,6658895.5,6826,102.8,69.6,0.0032319,12.4109002,0.1602573
Miguel Pereira,25582,287,240562963.5,147528846.7,2040952,1301,108.9,89.03,0.0084841,1.6306164,0.0508561
Miracema,27154,303,76037207.28,79423854.35,3031610,15355,46,89.51,0.0398701,0.9573598,0.5654784
Paraíba do Sul,44518,581,186492793.1,128145000,4294316.8,223,72,76.65,0.0230267,1.4553263,0.0050092
São João da Barra,36423,459,458039950.9,458039950.9,9814586.38,10130,17.5,79.42,0.0214274,1,0.278121
Rio Claro,18605,841,106726946.8,121687452.5,8560000,84,26.2,22.11,0.0802047,0.8770579,0.0045149
Laje do Muriaé,7326,251,46619864.76,51844864.8,1423750,1038,55.9,29.24,0.0305396,0.8992186,0.1416871
Cachoeiras de Macacu,59303,956,259022212.2,259022212.2,12417095.55,201,119.7,62.05,0.0479383,1,0.0033894
Petrópolis,306678,796,1238332775,1433965383,16316880.22,30239,200,385.37,0.0131765,0.8635723,0.0986018
Itaperuna,103800,1106,314969997.5,371814034.4,4844987.4,4691,97,93.89,0.0153824,0.847117,0.0451927
Rio Claro,18605,841,106726946.8,121687452.5,13665491.08,783,106.8,22.11,0.1280416,0.8770579,0.0420855
São José de Ubá,7206,251,59392525.8,59022321.04,990000,127,210,28.76,0.0166688,1.0062723,0.0176242
Paracambi,52683,179374,138265153.8,131105954,3250000,80,50.8,0.29,0.0235056,1.0546062,0.0015185
Natividade,15311,387026,79364793.84,75165507,420000,1106,290,0.04,0.005292,1.0558672,0.0722356
Porciúncula,18960,302,96207593.04,89840800,839009.86,11844,290,62.74,0.0087208,1.0708675,0.6246835
Três Rios,77432,327,321853535.7,321853535.7,10985000,432,113,237.11,0.0341304,1,0.0055791
Miracema,27154,303,76037207.28,79423854.35,1887500,2855,40,89.51,0.0248234,0.9573598,0.105141
Queimados,151335,76,330352590,328513000,1843250,25881,170.4,1999.11,0.0055796,1.0055997,0.1710179
Itaguaí,134819,273,515813755.1,770523340,1798802.6,27792,120,493.09,0.0034873,0.669433,0.2061431
Seropédica,83092,284,266828482.4,295940324.6,3075388.05,28328,60,292.79,0.0115257,0.9016294,0.3409233
Mesquita,176569,39,352955772,367000000,67733198,91851,80,4520.22,0.1919028,0.9617323,0.5201989
Nova Iguaçu,823302,521,1354041527,1512593337,569592.92,406996,110,1580.82,0.0004207,0.8951788,0.4943459
Rio Bonito,60573,462,202088882.4,268702587.4,15030656.6,614,161.8,131.07,0.0743765,0.7520913,0.0101365
Santo Antônio de Pádua,42594,612,117079845.6,133264000,938657.54,22946,106.4,69.6,0.0080172,0.8785557,0.5387144
Varre-Sai,11106,190,54333365.88,61130948.67,9262550,7852,33,58.43,0.1704763,0.8888029,0.7070052
Queimados,151335,76,330352590,328513000,699326.3,1534,73.8,1999.11,0.0021169,1.0055997,0.0101365
Natividade,15311,387026,70679535.48,71645860,2689810.37,2400,79.5,0.04,0.0380564,0.9865125,0.15675
Laje do Muriaé,7326,251,46619864.76,51844864.8,1032500,2560,33,29.24,0.0221472,0.8992186,0.3494403
Barra Mansa,184833,547,485234400,545000000,2635000,204,64,337.82,0.0054304,0.8903383,0.0011037
Miguel Pereira,25582,287,140272495.7,127479267.8,477627.9,43,58.4,89.03,0.003405,1.1003554,0.0016809
Nova Friburgo,191158,933,484597692.6,568203896,1301955,1028,35.2,204.89,0.0026867,0.8528588,0.0053778
Barra Mansa,184833,547,482822171.1,493758000,3013179.56,12751,136,337.82,0.0062408,0.9778518,0.0689866
São Gonçalo,1091737,249,2280222225,1990392329,30312871.48,8227,199.4,4381.99,0.0132938,1.1456145,0.0075357
Piraí,29545,505,280540134.5,293780041,2049400,10585,104.2,58.45,0.0073052,0.9549326,0.3582671
Barra do Piraí,100764,578,382592400,304000000,10137771.57,346,25.6,174.19,0.0264976,1.2585276,0.0034338
