"municipio;População;Área_km;Receita.Anual;Orçamento.anual;Danos.e.Prejuízos;Afetados;Precipitação.pluviométrica;Densidade.populacional;Capacidade.de.investimento.na.resposta.ao.desastre;Capacidade.de.projeção.financeira;Densidade.populacional.de.afetados;fator_1;fator_2;fator_3;fator_4;cluster_H"
"Miracema;27154;303;1.75e+08;154504379;495650;600;98;89.51;0.0028323;1.132654;0.0220962;-0.452958393484587;-0.563449786794417;-0.110098142957165;0.110542133262575;1"
"Laje do Muriaé;7326;251;46619864.76;51844864.8;2291000;3128;250;29.24;0.0491421;0.8992186;0.4269724;-0.142801191816667;0.432105997644037;0.504661128982552;-0.0370590398273324;2"
"Cambuci;15514;562;71745844.8;91660000;256000;3142;38.4;27.62;0.0035682;0.7827389;0.2025268;-0.493272335171452;-0.290587409492782;-0.373301882853954;0.0185209631527902;1"
"Campos dos Goytacazes;511168;4032;2259089505;2526415589;35825000;442;140.8;126.78;0.0158582;0.8941876;0.0008647;0.246249470615525;-0.773465017055591;0.138453799982387;-0.0626398780211772;1"
"Barra do Piraí;100764;578;351043700;2.75e+08;1803526.8;1450;92;174.19;0.0051376;1.2765225;0.0143901;-0.404554298402961;-0.604833653945275;-0.121022137630027;0.208082461774824;1"
"Conceição de Macabu;23398;348;124527975.1;99962574.5;2786132;8968;125;67.17;0.0223735;1.245746;0.3832806;-0.307229067106677;0.143681131832435;0.0659469227651911;0.320982134369084;2"
"São Pedro da Aldeia;106049;359;391002957.8;403828202.3;230049.42;53;150;295.4;0.0005884;0.9682408;0.0004998;-0.321677813055517;-0.611288819105581;0.0179299033104099;-0.0751982354953614;1"
"Laje do Muriaé;7326;251;46619864.76;51844864.8;1091590;1376;90;29.24;0.0234147;0.8992186;0.1878242;-0.427649901996951;-0.188717979195051;-0.154997839095974;0.0308830179983284;1"
"Rio Claro;18605;841;106726946.8;121687452.5;12965675.4;910;271.2;22.11;0.1214846;0.8770579;0.0489116;-0.11672347432106;0.180668868094023;0.547000911090372;-0.271436958066747;2"
"Paraty;43680;928;374735796;3.6e+08;45700000;10993;300;47.05;0.1219526;1.0409328;0.2516712;0.136554092063127;0.599780683254655;0.7440992294918;-0.0772922012836937;2"
"Mangaratiba;45220;356;395416504.1;326553759.2;9194987.2;7426;307.5;126.88;0.0232539;1.2108772;0.1642194;-0.0666359868073196;-0.0750186162062593;0.748530648793991;0.00735055613399033;2"
"Belford Roxo;513118;80;1072096981;1057932547;13124090.89;426365;228;6430.78;0.0122415;1.0133888;0.8309297;1.0547366874968;1.7928074474192;-1.24655156300546;-0.103172041052702;3"
"Mesquita;176569;39;496892328.5;5.75e+08;31933377.6;53480;139.5;4520.22;0.0642662;0.8641606;0.3028844;0.171854830051472;0.257974888379456;-1.02794380373908;-0.300489988418133;4"
"Queimados;151335;76;464466223.4;358320000;3598697.58;9384;138.8;1999.11;0.007748;1.296233;0.0620081;-0.210344921269305;-0.514791868810798;-0.372176272007554;0.0675877336658917;1"
"Angra dos Reis;207044;816;1055530700;1.232e+09;19229000;112120;389;253.64;0.0182174;0.8567619;0.5415274;0.479798188031436;0.776578665749845;1.00226432480136;-0.115501361135432;5"
